method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,Slovakia,5,5,3006587,OK,0,80,162,219,1758221288029,1758221288248
getPopulationofCountry,Slovakia,5,5,3006587,OK,0,80,162,217,1758221288249,1758221288466
getPopulationofCountry,Netherlands,4,4,16383873,OK,0,92,174,231,1758221288467,1758221288699
getPopulationofCountry,Belgium,2,2,15411242,OK,0,93,176,232,1758221288700,1758221288932
getPopulationofCountry,Belgium,2,2,15411242,OK,0,80,162,219,1758221288933,1758221289153
getPopulationofCountry,Serbia,5,5,4803355,OK,0,80,161,218,1758221289154,1758221289372
getPopulationofCountry,Philippines,1,1,61881622,OK,0,96,178,231,1758221289372,1758221289604
getPopulationofCountry,Bolivia,1,1,7348242,OK,0,89,171,226,1758221289605,1758221289831
getPopulationofCountry,"Equatorial Guinea",4,4,447039,OK,0,81,162,219,1758221289832,1758221290051
getPopulationofCountry,"Equatorial Guinea",4,4,447039,OK,0,80,161,216,1758221290052,1758221290268
getPopulationofCountry,"Equatorial Guinea",4,4,447039,OK,0,80,162,216,1758221290268,1758221290485
getPopulationofCountry,"Equatorial Guinea",4,4,447039,OK,0,80,162,219,1758221290486,1758221290705
getPopulationofCountry,Sweden,4,4,9362428,OK,0,85,167,223,1758221290705,1758221290929
getPopulationofCountry,"United Kingdom",3,3,70068919,OK,0,91,173,229,1758221290930,1758221291160
getPopulationofCountry,Nepal,3,3,3989252,OK,0,88,169,221,1758221291160,1758221291382
getPopulationofCountry,"Equatorial Guinea",5,5,447039,OK,0,81,162,214,1758221291382,1758221291597
getPopulationofCountry,"Equatorial Guinea",5,5,447039,OK,0,80,161,213,1758221291597,1758221291811
getPopulationofCountry,Honduras,3,3,3328228,OK,0,91,173,226,1758221291811,1758221292038
getPopulationofCountry,Belarus,4,4,7097388,OK,0,90,172,227,1758221292038,1758221292266
getPopulationofCountry,Belarus,4,4,7097388,OK,0,80,162,220,1758221292266,1758221292487
getPopulationofCountry,Belarus,4,4,7097388,OK,0,80,162,217,1758221292488,1758221292705
getPopulationofCountry,"United States",5,5,266998322,OK,0,109,191,247,1758221292706,1758221292954
getPopulationofCountry,Netherlands,4,4,16383873,OK,0,80,162,219,1758221292954,1758221293173
getPopulationofCountry,Netherlands,4,4,16383873,OK,0,80,162,218,1758221293174,1758221293393
