# Columns: result|ERROR method args Zone:N ServerZone:Z WaitMs ExecMs TurnMs TotalMs [errorType]
4803355 getPopulationofCountry Serbia Zone:5 ServerZone:1 WaitMs:0 ExecMs:2 TurnMs:86 TotalMs:216
447039 getPopulationofCountry Equatorial Guinea Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:88 TotalMs:136
61881622 getPopulationofCountry Philippines Zone:1 ServerZone:2 WaitMs:0 ExecMs:76 TurnMs:160 TotalMs:201
7348242 getPopulationofCountry Bolivia Zone:1 ServerZone:2 WaitMs:46 ExecMs:3 TurnMs:137 TotalMs:178
447039 getPopulationofCountry Equatorial Guinea Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:134
447039 getPopulationofCountry Equatorial Guinea Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:127
447039 getPopulationofCountry Equatorial Guinea Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:123
9362428 getPopulationofCountry Sweden Zone:4 ServerZone:5 WaitMs:0 ExecMs:11 TurnMs:98 TotalMs:134
70068919 getPopulationofCountry United Kingdom Zone:3 ServerZone:5 WaitMs:3 ExecMs:52 TurnMs:139 TotalMs:207
3989252 getPopulationofCountry Nepal Zone:3 ServerZone:5 WaitMs:9 ExecMs:1 TurnMs:93 TotalMs:160
447039 getPopulationofCountry Equatorial Guinea Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:87 TotalMs:214
3328228 getPopulationofCountry Honduras Zone:3 ServerZone:5 WaitMs:0 ExecMs:9 TurnMs:93 TotalMs:164
7097388 getPopulationofCountry Belarus Zone:4 ServerZone:5 WaitMs:6 ExecMs:2 TurnMs:92 TotalMs:131
447039 getPopulationofCountry Equatorial Guinea Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:211
7097388 getPopulationofCountry Belarus Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:121
7097388 getPopulationofCountry Belarus Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:124
16383873 getPopulationofCountry Netherlands Zone:4 ServerZone:5 WaitMs:0 ExecMs:3 TurnMs:85 TotalMs:124
16383873 getPopulationofCountry Netherlands Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:123
1565638 getPopulationofCountry Togo Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:85 TotalMs:121
134594036 getPopulationofCountry Brazil Zone:2 ServerZone:3 WaitMs:0 ExecMs:3 TurnMs:86 TotalMs:124
266998322 getPopulationofCountry United States Zone:5 ServerZone:1 WaitMs:0 ExecMs:162 TurnMs:245 TotalMs:372
316458 getPopulationofCountry Suriname Zone:5 ServerZone:1 WaitMs:5 ExecMs:1 TurnMs:89 TotalMs:218
134594036 getPopulationofCountry Brazil Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:86 TotalMs:122
134594036 getPopulationofCountry Brazil Zone:2 ServerZone:3 WaitMs:0 ExecMs:2 TurnMs:87 TotalMs:124
6340891 getPopulationofCountry Guatemala Zone:5 ServerZone:1 WaitMs:0 ExecMs:13 TurnMs:95 TotalMs:221
134594036 getPopulationofCountry Brazil Zone:2 ServerZone:3 WaitMs:0 ExecMs:2 TurnMs:85 TotalMs:122
64035243 getPopulationofCountry Indonesia Zone:2 ServerZone:3 WaitMs:0 ExecMs:23 TurnMs:108 TotalMs:146
2501302 getPopulationofCountry Panama Zone:1 ServerZone:2 WaitMs:0 ExecMs:12 TurnMs:96 TotalMs:140
3988332 getPopulationofCountry Paraguay Zone:3 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:152
1182883 getPopulationofCountry Slovenia Zone:1 ServerZone:2 WaitMs:0 ExecMs:10 TurnMs:92 TotalMs:135
3162856 getPopulationofCountry Norway Zone:5 ServerZone:1 WaitMs:0 ExecMs:7 TurnMs:90 TotalMs:218
1930662 getPopulationofCountry Kyrgyzstan Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
3162856 getPopulationofCountry Norway Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:210
1930662 getPopulationofCountry Kyrgyzstan Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
1930662 getPopulationofCountry Kyrgyzstan Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:119
3907506 getPopulationofCountry Ireland Zone:3 ServerZone:5 WaitMs:0 ExecMs:15 TurnMs:103 TotalMs:169
184225 getPopulationofCountry Guam Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:210
3907506 getPopulationofCountry Ireland Zone:3 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:152
374575 getPopulationofCountry Guadeloupe Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
